Date/Time,Temperature   (*C),
05/08/99 23:30:00.0,18.41,
05/09/99 00:00:00.0,18.77,
05/09/99 00:30:00.0,18.94,Series
05/09/99 01:00:00.0,19.3,Logger Info
05/09/99 01:30:00.0,19.3,Model
05/09/99 02:00:00.0,19.48,Serial Number
05/09/99 02:30:00.0,19.3,Memory Size (Bytes)
05/09/99 03:00:00.0,19.12,Extra Info
05/09/99 03:30:00.0,18.94,Model Number
05/09/99 04:00:00.0,18.77,Version Number
05/09/99 04:30:00.0,18.41,Series Info
05/09/99 05:00:00.0,18.24,Points Used
05/09/99 05:30:00.0,17.88,First Point
05/09/99 06:00:00.0,17.53,Last Point
05/09/99 06:30:00.0,17.36,Duration
05/09/99 07:00:00.0,17.01,Stats
05/09/99 07:30:00.0,17.01,Wrap Count
05/09/99 08:00:00.0,17.01,Max Value
05/09/99 08:30:00.0,17.01,Min Value
05/09/99 09:00:00.0,17.01,Avg Value
05/09/99 09:30:00.0,17.01,Launch Parameters
05/09/99 10:00:00.0,17.18,Description
05/09/99 10:30:00.0,17.36,Wrap
05/09/99 11:00:00.0,17.53,Interval
05/09/99 11:30:00.0,17.53,Measurement Unit
05/09/99 12:00:00.0,17.36,Triggered Start
05/09/99 12:30:00.0,17.01,Delay Start
05/09/99 13:00:00.0,16.83,Alarm High
05/09/99 13:30:00.0,16.49,Alarm Low
05/09/99 14:00:00.0,16.32,Multiple Sampling
05/09/99 14:30:00.0,16.14,
05/09/99 15:00:00.0,15.97,
05/09/99 15:30:00.0,15.97,
05/09/99 16:00:00.0,15.62,
05/09/99 16:30:00.0,15.27,
05/09/99 17:00:00.0,14.92,
05/09/99 17:30:00.0,14.75,
05/09/99 18:00:00.0,14.58,
05/09/99 18:30:00.0,14.41,
05/09/99 19:00:00.0,14.41,
05/09/99 19:30:00.0,14.23,
05/09/99 20:00:00.0,14.06,
05/09/99 20:30:00.0,13.55,
05/09/99 21:00:00.0,12.87,
05/09/99 21:30:00.0,12.52,
05/09/99 22:00:00.0,12.52,
05/09/99 22:30:00.0,12.52,
05/09/99 23:00:00.0,12.69,
05/09/99 23:30:00.0,12.69,
05/10/99 00:00:00.0,12.87,
05/10/99 00:30:00.0,12.87,
05/10/99 01:00:00.0,12.87,
05/10/99 01:30:00.0,12.87,
05/10/99 02:00:00.0,12.87,
05/10/99 02:30:00.0,12.87,
05/10/99 03:00:00.0,12.87,
05/10/99 03:30:00.0,12.87,
05/10/99 04:00:00.0,12.69,
05/10/99 04:30:00.0,12.69,
05/10/99 05:00:00.0,12.69,
05/10/99 05:30:00.0,12.69,
05/10/99 06:00:00.0,12.69,
05/10/99 06:30:00.0,12.69,
05/10/99 07:00:00.0,12.52,
05/10/99 07:30:00.0,12.52,
05/10/99 08:00:00.0,12.35,
05/10/99 08:30:00.0,12.35,
05/10/99 09:00:00.0,12.35,
05/10/99 09:30:00.0,12.35,
05/10/99 10:00:00.0,12.52,
05/10/99 10:30:00.0,12.52,
05/10/99 11:00:00.0,12.69,
05/10/99 11:30:00.0,12.69,
05/10/99 12:00:00.0,12.87,
05/10/99 12:30:00.0,13.04,
05/10/99 13:00:00.0,13.38,
05/10/99 13:30:00.0,13.55,
05/10/99 14:00:00.0,13.89,
05/10/99 14:30:00.0,14.23,
05/10/99 15:00:00.0,14.75,
05/10/99 15:30:00.0,15.1,
05/10/99 16:00:00.0,15.44,
05/10/99 16:30:00.0,15.62,
05/10/99 17:00:00.0,15.97,
05/10/99 17:30:00.0,16.32,
05/10/99 18:00:00.0,16.66,
05/10/99 18:30:00.0,17.01,
05/10/99 19:00:00.0,17.36,
05/10/99 19:30:00.0,17.53,
05/10/99 20:00:00.0,17.53,
05/10/99 20:30:00.0,15.27,
05/10/99 21:00:00.0,13.89,
05/10/99 21:30:00.0,12.87,
05/10/99 22:00:00.0,12,
05/10/99 22:30:00.0,11.14,
05/10/99 23:00:00.0,10.28,
05/10/99 23:30:00.0,9.59,
05/11/99 00:00:00.0,8.91,
05/11/99 00:30:00.0,8.39,
05/11/99 01:00:00.0,7.68,
05/11/99 01:30:00.0,7.16,
05/11/99 02:00:00.0,6.47,
05/11/99 02:30:00.0,5.77,
05/11/99 03:00:00.0,5.07,
05/11/99 03:30:00.0,4.54,
05/11/99 04:00:00.0,4.01,
05/11/99 04:30:00.0,3.48,
05/11/99 05:00:00.0,3.12,
05/11/99 05:30:00.0,2.94,
05/11/99 06:00:00.0,2.76,
05/11/99 06:30:00.0,2.76,
05/11/99 07:00:00.0,2.76,
05/11/99 07:30:00.0,3.12,
05/11/99 08:00:00.0,3.48,
05/11/99 08:30:00.0,4.72,
05/11/99 09:00:00.0,6.47,
05/11/99 09:30:00.0,7.86,
05/11/99 10:00:00.0,9.26,
05/11/99 10:30:00.0,10.97,
05/11/99 11:00:00.0,12.52,
05/11/99 11:30:00.0,14.06,
05/11/99 12:00:00.0,15.27,
05/11/99 12:30:00.0,16.32,
05/11/99 13:00:00.0,17.01,
05/11/99 13:30:00.0,17.71,
05/11/99 14:00:00.0,18.41,
05/11/99 14:30:00.0,19.12,
05/11/99 15:00:00.0,19.83,
05/11/99 15:30:00.0,20.72,
05/11/99 16:00:00.0,21.43,
05/11/99 16:30:00.0,21.97,
05/11/99 17:00:00.0,22.33,
05/11/99 17:30:00.0,23.06,
05/11/99 18:00:00.0,23.61,
05/11/99 18:30:00.0,24.17,
05/11/99 19:00:00.0,24.35,
05/11/99 19:30:00.0,24.72,
05/11/99 20:00:00.0,24.91,
05/11/99 20:30:00.0,25.09,
05/11/99 21:00:00.0,25.28,
05/11/99 21:30:00.0,25.28,
05/11/99 22:00:00.0,25.47,
05/11/99 22:30:00.0,25.47,
05/11/99 23:00:00.0,25.47,
05/11/99 23:30:00.0,25.47,
05/12/99 00:00:00.0,25.47,
05/12/99 00:30:00.0,25.47,
05/12/99 01:00:00.0,25.28,
05/12/99 01:30:00.0,25.28,
05/12/99 02:00:00.0,25.28,
05/12/99 02:30:00.0,25.28,
05/12/99 03:00:00.0,25.09,
05/12/99 03:30:00.0,25.09,
05/12/99 04:00:00.0,25.09,
05/12/99 04:30:00.0,25.09,
05/12/99 05:00:00.0,25.09,
05/12/99 05:30:00.0,25.09,
05/12/99 06:00:00.0,25.28,
05/12/99 06:30:00.0,25.28,
05/12/99 07:00:00.0,25.28,
05/12/99 07:30:00.0,25.28,
05/12/99 08:00:00.0,25.28,
05/12/99 08:30:00.0,25.28,
05/12/99 09:00:00.0,25.28,
05/12/99 09:30:00.0,25.47,
05/12/99 10:00:00.0,25.66,
05/12/99 10:30:00.0,25.84,
05/12/99 11:00:00.0,26.03,
